CV,YIELD,LAT,LONG
40.11,1618.8,44.85346878,-117.0631321
47.84,1557.34,44.89513291,-117.1047962
46.2,1487,44.89513291,-117.1464603
307.89,26.75,45.10345353,-120.2296055
124.08,180.1,45.14511765,-120.6462467
46.4,362.98,45.14511765,-121.1878803
82.01,310.59,45.18678178,-120.062949
86.32,238.42,45.18678178,-120.6879109
41.38,319.71,45.18678178,-121.1045521
43.73,347.55,45.18678178,-121.1462162
166.51,99.28,45.2284459,-117.8547504
190.89,62.05,45.2284459,-117.8964145
80.92,285.91,45.2284459,-120.1046131
78.38,331.12,45.2284459,-120.1462772
80.68,329.08,45.2284459,-120.1879414
75.15,338.87,45.2284459,-120.2296055
59.54,329.44,45.2284459,-120.7712391
38.61,317.64,45.2284459,-121.1462162
44.95,336.29,45.2284459,-121.2295445
88.93,379.81,45.27011002,-117.9380787
66.52,534.41,45.27011002,-117.9797428
83.59,380.71,45.27011002,-118.0214069
75.47,330.97,45.27011002,-119.7713001
84.83,314.95,45.27011002,-120.1462772
78.52,322.51,45.27011002,-120.1879414
74.25,340.69,45.27011002,-120.2296055
70.92,348.68,45.27011002,-120.2712696
67.87,345.98,45.27011002,-120.3129337
84.29,297.05,45.27011002,-120.4795902
51.43,372.46,45.27011002,-120.6462467
44.09,421.2,45.27011002,-120.6879109
45.45,411.25,45.27011002,-120.729575
29.99,1843.62,45.31177415,-117.1464603
58.82,895.11,45.31177415,-117.8130863
59.52,712.75,45.31177415,-117.8547504
68.93,594.43,45.31177415,-117.8964145
36.55,1013.58,45.31177415,-118.063071
99.51,283.84,45.31177415,-119.7713001
102.15,257.35,45.31177415,-119.8962925
77.8,317.9,45.31177415,-120.1879414
74.87,290.55,45.31177415,-120.3545979
39.96,429.39,45.31177415,-120.6462467
45.39,483.78,45.31177415,-120.7712391
45.38,529.7,45.31177415,-120.8545673
35.59,1614.69,45.35343827,-117.1464603
37.63,1591.36,45.35343827,-117.1881244
37.19,1622.03,45.35343827,-117.2297886
35.86,1622.96,45.35343827,-117.2714527
21.79,1385.52,45.35343827,-117.8130863
76.02,517.8,45.35343827,-117.8547504
25.96,1424.09,45.35343827,-117.8964145
51.37,800.94,45.35343827,-117.9380787
50.93,805.13,45.35343827,-117.9797428
54.08,735.26,45.35343827,-118.0214069
43.32,903.69,45.35343827,-118.063071
107.18,250.99,45.35343827,-119.8129642
126.44,199.36,45.35343827,-119.8546284
127.07,184.67,45.35343827,-119.9379566
38.67,425.15,45.35343827,-120.6462467
42.13,443.99,45.35343827,-120.6879109
44.38,450.56,45.35343827,-120.729575
45.38,464.02,45.35343827,-120.7712391
39.51,1455.79,45.3951024,-117.1881244
38.29,1380.5,45.3951024,-117.2297886
36.31,1156.69,45.3951024,-117.2714527
38.11,1167.31,45.3951024,-117.3131168
27.99,2040.58,45.3951024,-117.8547504
37.3,1166.23,45.3951024,-117.8964145
24.93,1413.65,45.3951024,-117.9380787
25.39,1416.23,45.3951024,-117.9797428
37.29,1010.16,45.3951024,-118.0214069
24.65,1294.61,45.3951024,-118.063071
192.46,5.3,45.3951024,-119.729636
224.25,5.09,45.3951024,-119.8129642
209.39,6.58,45.3951024,-119.8546284
201.37,7.3,45.3951024,-119.8962925
353.9,27.59,45.3951024,-120.1879414
258.16,15.39,45.3951024,-120.2296055
140.67,191.94,45.3951024,-120.6462467
40.49,435.58,45.3951024,-120.7712391
39.92,478.29,45.3951024,-120.8129032
37.56,404.51,45.3951024,-121.1462162
37.89,1428.3,45.43676652,-117.1881244
31.92,1201.3,45.43676652,-117.9380787
31.35,1176.87,45.43676652,-118.0214069
197.79,2.55,45.43676652,-119.729636
219.11,2.9,45.43676652,-119.7713001
205.1,3.71,45.43676652,-119.8129642
213.56,6.5,45.43676652,-119.8546284
323.27,3.91,45.43676652,-119.9379566
224.44,3.19,45.43676652,-119.9796207
279.6,5.98,45.43676652,-120.0212849
204.43,7.68,45.43676652,-120.062949
224.24,10.45,45.43676652,-120.1879414
256.27,6.51,45.43676652,-120.2296055
210.13,8.04,45.43676652,-120.2712696
213.44,5.72,45.43676652,-120.4379261
234.73,113.61,45.43676652,-120.5629185
168.85,164.08,45.43676652,-120.6045826
150.38,172.08,45.43676652,-120.6462467
144.99,183.39,45.43676652,-120.6879109
85.28,359.17,45.43676652,-120.7712391
50.92,820.15,45.43676652,-120.8129032
36.94,390.84,45.43676652,-121.062888
82.2,529.26,45.43676652,-121.1462162
41.63,911.31,45.47843064,-117.4381092
30.36,1554.49,45.47843064,-117.9380787
27.09,1442.12,45.47843064,-118.0214069
209.4,89.36,45.47843064,-118.8546894
80.77,409.56,45.47843064,-119.5629795
197.04,5.47,45.47843064,-119.6463078
154.39,2.49,45.47843064,-119.6879719
308.16,3.55,45.47843064,-119.9379566
270.94,4.81,45.47843064,-119.9796207
288.48,5.31,45.47843064,-120.062949
269.54,6.1,45.47843064,-120.1046131
269.45,4.89,45.47843064,-120.1879414
259.27,4.64,45.47843064,-120.2296055
249.02,4.18,45.47843064,-120.2712696
293.67,64.27,45.47843064,-120.5629185
176.79,154.46,45.47843064,-120.6045826
150.98,151.47,45.47843064,-120.6462467
176.23,154.34,45.47843064,-120.6879109
166.33,137.37,45.47843064,-120.729575
91.05,335.95,45.47843064,-120.7712391
37.91,417.3,45.47843064,-120.9378956
35.12,1069.7,45.47843064,-120.9795597
38.44,384.8,45.47843064,-121.0212238
94.48,420.33,45.47843064,-121.1045521
63.36,658.72,45.47843064,-121.1462162
24.98,1062.32,45.47843064,-121.1878803
33.9,1155.05,45.52009477,-117.4381092
37.83,1070.91,45.52009477,-117.4797733
29.78,1331.63,45.52009477,-117.8964145
23.97,1636.67,45.52009477,-117.9797428
24.38,1725.37,45.52009477,-118.0214069
25.48,1749.52,45.52009477,-118.063071
115.26,379.8,45.52009477,-118.729697
190.85,117.62,45.52009477,-118.7713611
219.55,71.08,45.52009477,-118.8130253
213.06,68.5,45.52009477,-118.8546894
180.84,29.52,45.52009477,-118.9380176
127.52,218.08,45.52009477,-119.1046741
219.41,4.02,45.52009477,-119.5213154
136.02,2.55,45.52009477,-119.5629795
156.75,2.09,45.52009477,-119.6046436
153.22,1.85,45.52009477,-119.6463078
159.29,1.85,45.52009477,-119.6879719
158.2,2.21,45.52009477,-119.729636
237.02,2.77,45.52009477,-119.7713001
180.21,2.5,45.52009477,-119.8129642
218.82,2.7,45.52009477,-119.8546284
200.71,1.51,45.52009477,-119.9379566
229.78,2.04,45.52009477,-119.9796207
208.06,3.7,45.52009477,-120.0212849
245.53,4.49,45.52009477,-120.1046131
240.63,6.66,45.52009477,-120.1462772
275.15,3.51,45.52009477,-120.2712696
287.84,3.57,45.52009477,-120.3129337
317.02,38.17,45.52009477,-120.5212544
224.35,107.94,45.52009477,-120.5629185
163.26,173.3,45.52009477,-120.6462467
159.03,182.23,45.52009477,-120.6879109
107.88,294.02,45.52009477,-120.729575
82.63,400.11,45.52009477,-120.7712391
27.3,1193.6,45.52009477,-120.9378956
36.53,981.99,45.52009477,-120.9795597
26.93,560.54,45.52009477,-121.0212238
37.24,990.1,45.52009477,-121.062888
37.8,937.8,45.52009477,-121.1045521
31.58,1100.79,45.52009477,-121.1462162
33.34,1218.04,45.56175889,-117.4797733
34.52,1181.47,45.56175889,-117.5214374
35.69,2386.09,45.56175889,-117.9380787
34.79,1244.4,45.56175889,-118.6880329
130.14,262.52,45.56175889,-118.729697
174.19,59.46,45.56175889,-118.7713611
181.75,107.49,45.56175889,-118.8546894
155.15,4.07,45.56175889,-119.4796513
144.22,2.99,45.56175889,-119.5213154
119.82,2.18,45.56175889,-119.5629795
121.9,2.01,45.56175889,-119.6046436
154.8,1.48,45.56175889,-119.6463078
157.74,1.46,45.56175889,-119.6879719
169.58,1.55,45.56175889,-119.729636
185.34,3.47,45.56175889,-119.7713001
211.52,2.78,45.56175889,-119.8129642
180.51,1.32,45.56175889,-119.8546284
166.94,1.33,45.56175889,-119.8962925
166.88,1.44,45.56175889,-119.9796207
159.84,1.73,45.56175889,-120.0212849
136.32,145.25,45.56175889,-120.1462772
203.78,5.51,45.56175889,-120.1879414
228.96,4.84,45.56175889,-120.2296055
267.9,76.19,45.56175889,-120.5212544
141.75,214.38,45.56175889,-120.5629185
128.75,258.68,45.56175889,-120.6045826
118.31,282.57,45.56175889,-120.6462467
100.76,341.41,45.56175889,-120.6879109
101.18,337.72,45.56175889,-120.729575
96.23,359.42,45.56175889,-120.7712391
64.66,529.15,45.56175889,-120.8129032
48.93,664.51,45.56175889,-120.8545673
22.74,1341.45,45.56175889,-120.9378956
23.7,1403.45,45.56175889,-120.9795597
24.39,1427.67,45.56175889,-121.0212238
26.6,588.32,45.56175889,-121.062888
24.41,1302.09,45.56175889,-121.1045521
23.66,1386.16,45.56175889,-121.1462162
25.97,1321.11,45.60342302,-117.8964145
68.46,683.46,45.60342302,-118.6880329
87.18,497.9,45.60342302,-118.729697
99.03,377.76,45.60342302,-118.7713611
45.5,630.69,45.60342302,-119.0213459
43.72,604,45.60342302,-119.06301
58.78,379,45.60342302,-119.2296665
141.71,2.92,45.60342302,-119.5213154
124.49,74.37,45.60342302,-119.5629795
123.67,70.48,45.60342302,-119.6046436
119.78,3.65,45.60342302,-119.6463078
120.04,3.42,45.60342302,-119.6879719
123.28,2.01,45.60342302,-119.729636
159.81,2.9,45.60342302,-119.7713001
141.44,1.55,45.60342302,-119.8129642
127.74,1.59,45.60342302,-119.8546284
121.16,1.93,45.60342302,-119.8962925
131.52,2.08,45.60342302,-119.9796207
146.88,69.57,45.60342302,-120.0212849
276.04,75.97,45.60342302,-120.5212544
150.04,177.77,45.60342302,-120.5629185
103.54,322.2,45.60342302,-120.6045826
93.67,355.32,45.60342302,-120.6462467
101.85,311.2,45.60342302,-120.6879109
109.44,273.8,45.60342302,-120.729575
91.12,350.98,45.60342302,-120.7712391
59.88,563.95,45.60342302,-120.8129032
32.43,900.58,45.60342302,-120.8545673
21.43,1591.49,45.60342302,-120.9378956
