"YieldCoefficientVariation_Percent","YieldMean_PoundPerAcre","Latitude_DecimalDegrees","Longitude_DecimalDegrees"
17.88,1714.38,44.853468783,-117.063132062
17.18,1783.24,44.895132907,-117.104796186
17.86,1785.27,44.895132907,-117.14646031
123.79,204.68,45.103453527,-120.229605486
71.87,343.16,45.145117651,-120.646246726
46.95,550.87,45.145117651,-121.187880338
64.78,646.84,45.186781775,-120.06294899
59.32,413.73,45.186781775,-120.68791085
39.23,485.58,45.186781775,-121.10455209
45.52,535.06,45.186781775,-121.146216214
65.07,798.76,45.228445899,-117.854750418
73.79,635.85,45.228445899,-117.896414542
63,488.13,45.228445899,-120.104613114
61.06,528.51,45.228445899,-120.146277238
61.36,525.25,45.228445899,-120.187941362
58.04,527.03,45.228445899,-120.229605486
39.26,519.46,45.228445899,-120.771239098
40.07,493.62,45.228445899,-121.146216214
47.57,531.04,45.228445899,-121.229544462
35.08,1155.2,45.270110023,-117.938078666
25.17,1336.73,45.270110023,-117.97974279
31.93,1157.8,45.270110023,-118.021406914
52.85,548.68,45.270110023,-119.771300122
62.24,503.54,45.270110023,-120.146277238
59.78,519.55,45.270110023,-120.187941362
57.79,534.96,45.270110023,-120.229605486
51.63,545.18,45.270110023,-120.27126961
48.47,551.23,45.270110023,-120.312933734
51.11,501.55,45.270110023,-120.47959023
34.16,563.34,45.270110023,-120.646246726
29.01,616.14,45.270110023,-120.68791085
30.04,622,45.270110023,-120.729574974
28.17,2136.93,45.311774147,-117.14646031
31.09,1751.69,45.311774147,-117.813086294
26.25,1610.87,45.311774147,-117.854750418
29.52,1430.11,45.311774147,-117.896414542
19.88,1711.02,45.311774147,-118.063071038
61.74,471.64,45.311774147,-119.771300122
63.81,432.16,45.311774147,-119.896292494
57.82,529.05,45.311774147,-120.187941362
57.52,514.6,45.311774147,-120.354597858
27.64,654.29,45.311774147,-120.646246726
30.32,744.06,45.311774147,-120.771239098
33.1,773.58,45.311774147,-120.854567346
26.47,2114.67,45.353438271,-117.14646031
24.98,2109.04,45.353438271,-117.188124434
23.46,2128.71,45.353438271,-117.229788558
25.19,2096.46,45.353438271,-117.271452682
21.64,2190.59,45.353438271,-117.813086294
28.46,1452.01,45.353438271,-117.854750418
16.14,1773.08,45.353438271,-117.896414542
23.87,1596.44,45.353438271,-117.938078666
23.31,1565.39,45.353438271,-117.97974279
24.78,1489.89,45.353438271,-118.021406914
21.53,1625.79,45.353438271,-118.063071038
66.81,420.55,45.353438271,-119.812964246
87.8,336.46,45.353438271,-119.85462837
91.33,325.23,45.353438271,-119.937956618
25.44,648.19,45.353438271,-120.646246726
28.15,679.3,45.353438271,-120.68791085
28.31,687.22,45.353438271,-120.729574974
29.58,713.28,45.353438271,-120.771239098
23.76,2092.94,45.395102395,-117.188124434
22.86,2071.35,45.395102395,-117.229788558
21.84,1739.07,45.395102395,-117.271452682
20.41,1992.57,45.395102395,-117.313116806
20.72,2291.63,45.395102395,-117.854750418
24.19,1855.06,45.395102395,-117.896414542
16.13,1722.21,45.395102395,-117.938078666
17.75,1733.46,45.395102395,-117.97974279
20.86,1735.5,45.395102395,-118.021406914
18.94,1903.92,45.395102395,-118.063071038
129.5,171.3,45.395102395,-119.729635998
134.66,155.16,45.395102395,-119.812964246
134.76,171.62,45.395102395,-119.85462837
139.22,172.07,45.395102395,-119.896292494
140.61,219.48,45.395102395,-120.187941362
150.96,196.24,45.395102395,-120.229605486
60.66,772.24,45.395102395,-120.646246726
28.23,692.97,45.395102395,-120.771239098
31.47,752.64,45.395102395,-120.812903222
37.7,691.27,45.395102395,-121.146216214
25.56,2043.23,45.436766519,-117.188124434
21.94,1815.1,45.436766519,-117.938078666
21.34,1820.5,45.436766519,-118.021406914
125.35,112.83,45.436766519,-119.729635998
128.21,115.59,45.436766519,-119.771300122
133.07,135.92,45.436766519,-119.812964246
129.35,170.68,45.436766519,-119.85462837
156.37,128.65,45.436766519,-119.937956618
146.21,122.3,45.436766519,-119.979620742
156.5,138.02,45.436766519,-120.021284866
145.63,173.55,45.436766519,-120.06294899
153.41,181.85,45.436766519,-120.187941362
164.82,157.95,45.436766519,-120.229605486
141.24,191.93,45.436766519,-120.27126961
147.13,165.25,45.436766519,-120.437926106
86.47,431.97,45.436766519,-120.562918478
64.7,632.91,45.436766519,-120.604582602
62.72,721.66,45.436766519,-120.646246726
59.65,759.1,45.436766519,-120.68791085
41.19,1094.13,45.436766519,-120.771239098
24.64,1629.94,45.436766519,-120.812903222
38.64,686.19,45.436766519,-121.062887966
29.8,1410.16,45.436766519,-121.146216214
20.65,1732.35,45.478430643,-117.438109178
21.8,1943.26,45.478430643,-117.938078666
20.06,1961.37,45.478430643,-118.021406914
79.79,469,45.478430643,-118.854689394
49.45,629.94,45.478430643,-119.562979502
125.74,158.41,45.478430643,-119.64630775
118.44,125.92,45.478430643,-119.687971874
155.45,119.35,45.478430643,-119.937956618
151.5,131.86,45.478430643,-119.979620742
155.78,131.85,45.478430643,-120.06294899
147.75,157.59,45.478430643,-120.104613114
157.19,135.33,45.478430643,-120.187941362
159.48,141.82,45.478430643,-120.229605486
158.05,132.56,45.478430643,-120.27126961
117.79,282,45.478430643,-120.562918478
63.29,612.31,45.478430643,-120.604582602
61.06,675.3,45.478430643,-120.646246726
62.71,639.99,45.478430643,-120.68791085
66.57,635.96,45.478430643,-120.729574974
