"YieldCoefficientVariation_Percent","YieldMean_PoundPerAcre","Latitude_DecimalDegrees","Longitude_DecimalDegrees"
21.68,2702.75,44.853468783,-117.063132062
20.87,2735.75,44.895132907,-117.104796186
19.5,2678.45,44.895132907,-117.14646031
132.18,334.1,45.103453527,-120.229605486
85.81,436.22,45.145117651,-120.646246726
42.69,732.93,45.145117651,-121.187880338
58.52,780.55,45.186781775,-120.06294899
65.27,528.73,45.186781775,-120.68791085
34.97,631.52,45.186781775,-121.10455209
40.27,692.01,45.186781775,-121.146216214
48.82,1036.18,45.228445899,-117.854750418
53.25,866.97,45.228445899,-117.896414542
65.42,639.15,45.228445899,-120.104613114
61.08,679.9,45.228445899,-120.146277238
62.64,683.92,45.228445899,-120.187941362
59.27,694.07,45.228445899,-120.229605486
46.67,671.37,45.228445899,-120.771239098
34.23,627.88,45.228445899,-121.146216214
40.52,680.62,45.228445899,-121.229544462
31.74,1420.33,45.270110023,-117.938078666
28.08,1580.1,45.270110023,-117.97974279
29.86,1397.52,45.270110023,-118.021406914
59.34,724.49,45.270110023,-119.771300122
64.82,649.31,45.270110023,-120.146277238
60.91,656.23,45.270110023,-120.187941362
58.25,693.43,45.270110023,-120.229605486
51.97,709.5,45.270110023,-120.27126961
49.03,708.79,45.270110023,-120.312933734
61.55,653.76,45.270110023,-120.47959023
37.87,725.86,45.270110023,-120.646246726
34.57,803.57,45.270110023,-120.68791085
36.61,798.19,45.270110023,-120.729574974
25.8,3378.27,45.311774147,-117.14646031
32.41,2230.44,45.311774147,-117.813086294
29.88,1947.51,45.311774147,-117.854750418
29.9,1736.56,45.311774147,-117.896414542
25.23,2132.6,45.311774147,-118.063071038
77.74,623.26,45.311774147,-119.771300122
81.53,563.86,45.311774147,-119.896292494
59.63,674.73,45.311774147,-120.187941362
55.63,619.67,45.311774147,-120.354597858
32.17,841.54,45.311774147,-120.646246726
35,948.82,45.311774147,-120.771239098
38.1,1006.69,45.311774147,-120.854567346
25.15,3239.49,45.353438271,-117.14646031
25.31,3138.12,45.353438271,-117.188124434
24.35,3166.24,45.353438271,-117.229788558
23.76,3152.14,45.353438271,-117.271452682
20.03,2920.97,45.353438271,-117.813086294
28.87,1739.66,45.353438271,-117.854750418
21.93,2541.23,45.353438271,-117.896414542
27.13,1940.35,45.353438271,-117.938078666
26.83,1912.39,45.353438271,-117.97974279
27.2,1828.36,45.353438271,-118.021406914
25.94,1999.93,45.353438271,-118.063071038
85.49,546.93,45.353438271,-119.812964246
105.61,444.28,45.353438271,-119.85462837
108.72,412.28,45.353438271,-119.937956618
30.89,842.68,45.353438271,-120.646246726
32.52,882.84,45.353438271,-120.68791085
34.78,894.02,45.353438271,-120.729574974
34.22,913.79,45.353438271,-120.771239098
24.49,2996.12,45.395102395,-117.188124434
26.03,2921.89,45.395102395,-117.229788558
26.58,2411.09,45.395102395,-117.271452682
25.56,2539.96,45.395102395,-117.313116806
23.64,3523.3,45.395102395,-117.854750418
24.28,2431.63,45.395102395,-117.896414542
21.67,2522.01,45.395102395,-117.938078666
22.5,2549.99,45.395102395,-117.97974279
25.32,2150.39,45.395102395,-118.021406914
22.34,2503.48,45.395102395,-118.063071038
143.37,202.86,45.395102395,-119.729635998
148.9,182.53,45.395102395,-119.812964246
132.41,243.51,45.395102395,-119.85462837
131.34,260.31,45.395102395,-119.896292494
118.44,359.49,45.395102395,-120.187941362
131.03,301.71,45.395102395,-120.229605486
39.49,1003.25,45.395102395,-120.646246726
30.73,862.02,45.395102395,-120.771239098
33.49,925.23,45.395102395,-120.812903222
